config,workload,ramulator.normalized_ipc,nrh
Hydra1000,436.cactusADM,0.9971019219349839,1000
Hydra500,436.cactusADM,0.9844882779471475,500
Hydra250,436.cactusADM,0.9650474119947092,250
Hydra125,436.cactusADM,0.955184218332813,125
REGA1000,436.cactusADM,1.0,1000
REGA500,436.cactusADM,0.9908317274746207,500
REGA250,436.cactusADM,0.9527135021251316,250
REGA125,436.cactusADM,0.848003317298232,125
PARA1000,436.cactusADM,0.9572735087074947,1000
PARA500,436.cactusADM,0.9147094250896562,500
PARA250,436.cactusADM,0.8280327637962531,250
PARA125,436.cactusADM,0.6431772078978695,125
Baseline0,538.imagick,1.0,0
CoMeT125,538.imagick,1.0,125
CoMeT250,538.imagick,1.0,250
CoMeT500,538.imagick,1.0,500
CoMeT1000,538.imagick,1.0,1000
Graphene1000,538.imagick,1.0,1000
Graphene500,538.imagick,1.0,500
Graphene250,538.imagick,1.0,250
Graphene125,538.imagick,1.0,125
Hydra1000,538.imagick,1.0,1000
Hydra500,538.imagick,1.0,500
Hydra250,538.imagick,1.0,250
Hydra125,538.imagick,1.0,125
REGA1000,538.imagick,1.0,1000
REGA500,538.imagick,1.0,500
REGA250,538.imagick,1.0,250
REGA125,538.imagick,1.0,125
PARA1000,538.imagick,1.0,1000
PARA500,538.imagick,1.0,500
PARA250,538.imagick,1.0,250
PARA125,538.imagick,1.0,125
Baseline0,h264_encode,1.0,0
CoMeT125,h264_encode,1.0,125
CoMeT250,h264_encode,1.0,250
CoMeT500,h264_encode,1.0,500
CoMeT1000,h264_encode,1.0,1000
Graphene1000,h264_encode,1.0,1000
Graphene500,h264_encode,1.0,500
Graphene250,h264_encode,1.0,250
Graphene125,h264_encode,1.0,125
Hydra1000,h264_encode,1.0,1000
Hydra500,h264_encode,1.0,500
Hydra250,h264_encode,1.0,250
Hydra125,h264_encode,1.0,125
REGA1000,h264_encode,1.0,1000
REGA500,h264_encode,1.0000473863574677,500
REGA250,h264_encode,1.0000814793205484,250
REGA125,h264_encode,1.0000814793205484,125
PARA1000,h264_encode,1.0,1000
PARA500,h264_encode,1.0,500
PARA250,h264_encode,1.0,250
PARA125,h264_encode,1.0,125
Baseline0,526.blender,1.0,0
CoMeT125,526.blender,1.0,125
CoMeT250,526.blender,1.0,250
CoMeT500,526.blender,1.0,500
CoMeT1000,526.blender,1.0,1000
Graphene1000,526.blender,1.0,1000
Graphene500,526.blender,1.0,500
Graphene250,526.blender,1.0,250
Graphene125,526.blender,1.0,125
Hydra1000,526.blender,1.0,1000
Hydra500,526.blender,1.0,500
Hydra250,526.blender,1.0,250
Hydra125,526.blender,1.0,125
REGA1000,526.blender,1.0,1000
REGA500,526.blender,1.0002978830383407,500
REGA250,526.blender,0.9986231932068544,250
REGA125,526.blender,0.9949665857779277,125
PARA1000,526.blender,0.9986294980521992,1000
PARA500,526.blender,0.9971937731877841,500
PARA250,526.blender,0.9942378871578732,250
PARA125,526.blender,0.9844901601467303,125
Baseline0,wc_8443,1.0,0
CoMeT125,wc_8443,0.9630856016872655,125
CoMeT250,wc_8443,0.9829600912361193,250
CoMeT500,wc_8443,0.9943728473978853,500
CoMeT1000,wc_8443,1.0,1000
Graphene1000,wc_8443,0.999912396498867,1000
Graphene500,wc_8443,0.9922844369740053,500
Graphene250,wc_8443,0.9877732602079788,250
Graphene125,wc_8443,0.9703035685502601,125
Hydra1000,wc_8443,0.9903552267433952,1000
Hydra500,wc_8443,0.9781710413284431,500
Hydra250,wc_8443,0.9764214712146608,250
Hydra125,wc_8443,0.9667185353568716,125
REGA1000,wc_8443,1.0,1000
REGA500,wc_8443,0.9984466916185996,500
REGA250,wc_8443,0.9850373053476599,250
REGA125,wc_8443,0.9369225336714547,125
PARA1000,wc_8443,0.9526497649936013,1000
PARA500,wc_8443,0.9059159639616665,500
PARA250,wc_8443,0.8136238490730278,250
PARA125,wc_8443,0.6251903128835735,125
Baseline0,429.mcf,1.0,0
CoMeT125,429.mcf,0.8544931583493254,125
CoMeT250,429.mcf,0.9204962242105927,250
CoMeT500,429.mcf,0.9587990355147733,500
CoMeT1000,429.mcf,0.9797457213164935,1000
Graphene1000,429.mcf,0.9865215457527912,1000
Graphene500,429.mcf,0.9702100965691876,500
Graphene250,429.mcf,0.9401623730377652,250
Graphene125,429.mcf,0.8854937714452059,125
Hydra1000,429.mcf,0.9708375583476753,1000
Hydra500,429.mcf,0.9121701002854654,500
Hydra250,429.mcf,0.6704354875527988,250
Hydra125,429.mcf,0.48756658126862834,125
REGA1000,429.mcf,1.0,1000
REGA500,429.mcf,0.8966663327287342,500
REGA250,429.mcf,0.690396602130467,250
REGA125,429.mcf,0.4548806224765193,125
PARA1000,429.mcf,0.8358853810744097,1000
PARA500,429.mcf,0.7162268363582118,500
PARA250,429.mcf,0.5419961502517009,250
PARA125,429.mcf,0.3145588935933244,125
Baseline0,wc_map0,1.0,0
CoMeT125,wc_map0,0.9634786958469709,125
CoMeT250,wc_map0,0.9834341262113714,250
CoMeT500,wc_map0,0.9942357879458465,500
